generic_name,category
SUCROFERRIC OXYHYDROXIDE,"Endocrine, Metabolic & Hormonal"
SULCONAZOLE NITRATE,Dermatology (Topical)
SULFACETAMIDE SOD/SULFUR/UREA,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
SULFACETAMIDE SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
SULFACETAMIDE SODIUM/SULFUR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
SULFACETAMIDE/PREDNISOLONE,Ophthalmic & Otic
SULFACETAMIDE/PREDNISOLONE SP,Ophthalmic & Otic
SULFADIAZINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
SULFAMETHOXAZOLE/TRIMETHOPRIM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
SULFANILAMIDE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
SULFASALAZINE,Gastrointestinal & Genitourinary
SULINDAC,"Nutrition, Fluids, Electrolytes & Supplies"
SUMATRIPTAN,"Neurology, Psychiatry & Pain"
SUMATRIPTAN SUCC/NAPROXEN SOD,"Neurology, Psychiatry & Pain"
SUMATRIPTAN SUCCINATE,"Neurology, Psychiatry & Pain"
SUNITINIB MALATE,Oncology & Immunology
SUVOREXANT,"Neurology, Psychiatry & Pain"
"SYR,NDL,INSULIN,1ML-SHARPS BIN","Endocrine, Metabolic & Hormonal"
"SYR-ND,INS,0.3/CONTAINER,EMPTY","Nutrition, Fluids, Electrolytes & Supplies"
"SYR-ND,INS,0.5/CONTAINER,EMPTY","Nutrition, Fluids, Electrolytes & Supplies"
"SYRGE-NDL,INS 0.3 ML HALF MARK","Nutrition, Fluids, Electrolytes & Supplies"
"SYRING-NEEDL,DISP,INSUL,0.3 ML","Nutrition, Fluids, Electrolytes & Supplies"
"SYRINGE AND NEEDLE,INSULIN,1ML","Endocrine, Metabolic & Hormonal"
"SYRINGE W-NDL, DISP,INSUL,2 ML","Nutrition, Fluids, Electrolytes & Supplies"
"SYRINGE WITH NEEDLE, INSULIN","Endocrine, Metabolic & Hormonal"
"SYRINGE,INSUL U-500,NDL,0.5ML","Nutrition, Fluids, Electrolytes & Supplies"
"SYRINGE,INSULIN,NEEDLESS 1 ML","Endocrine, Metabolic & Hormonal"
"SYRINGE,NEEDLE,INSULN,SAFE,1ML","Nutrition, Fluids, Electrolytes & Supplies"
"SYRINGE,NEEDLE,INSULN,SF 0.5ML","Nutrition, Fluids, Electrolytes & Supplies"
"SYRINGE,NEEDLE,INSULN,SF,0.3ML","Nutrition, Fluids, Electrolytes & Supplies"
"SYRINGE,SAFETY WITH NEEDLE,1ML","Nutrition, Fluids, Electrolytes & Supplies"
"SYRINGE-NEEDLE,INSULIN,0.5 ML","Endocrine, Metabolic & Hormonal"
TACROLIMUS,Oncology & Immunology
TADALAFIL,Gastrointestinal & Genitourinary
TAFLUPROST/PF,Ophthalmic & Otic
TALIGLUCERASE ALFA,"Endocrine, Metabolic & Hormonal"
TAMOXIFEN CITRATE,Oncology & Immunology
TAMSULOSIN HCL,Gastrointestinal & Genitourinary
TAPENTADOL HCL,"Neurology, Psychiatry & Pain"
TASIMELTEON,"Nutrition, Fluids, Electrolytes & Supplies"
TAVABOROLE,Dermatology (Topical)
TAZAROTENE,Dermatology (Topical)
TBO-FILGRASTIM,Oncology & Immunology
TEDIZOLID PHOSPHATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TEDUGLUTIDE,"Nutrition, Fluids, Electrolytes & Supplies"
TELAVANCIN HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TELBIVUDINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TELMISARTAN,Cardiovascular & Blood
TELMISARTAN/AMLODIPINE,Cardiovascular & Blood
TELMISARTAN/HYDROCHLOROTHIAZID,Cardiovascular & Blood
TELOTRISTAT ETIPRATE,Gastrointestinal & Genitourinary
TEMAZEPAM,"Neurology, Psychiatry & Pain"
TEMSIROLIMUS,Oncology & Immunology
TENOFOVIR ALAFENAMIDE FUMARATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TENOFOVIR DISOPROXIL FUMARATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TERAZOSIN HCL,Gastrointestinal & Genitourinary
TERBINAFINE HCL,Dermatology (Topical)
TERBUTALINE SULFATE,Respiratory & Allergy
TERCONAZOLE,Dermatology (Topical)
TERIFLUNOMIDE,"Neurology, Psychiatry & Pain"
TERIPARATIDE,"Endocrine, Metabolic & Hormonal"
TESAMORELIN ACETATE,"Endocrine, Metabolic & Hormonal"
TESTOSTERONE,"Endocrine, Metabolic & Hormonal"
TESTOSTERONE CYPIONATE,"Endocrine, Metabolic & Hormonal"
TESTOSTERONE ENANTHATE,"Endocrine, Metabolic & Hormonal"
TESTOSTERONE UNDECANOATE,"Endocrine, Metabolic & Hormonal"
"TETANUS TOXOID, ADSORBED/PF",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"TETANUS, DIPHTHERIA TOX,ADULT",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"TETANUS,DIPHTHERIA TOXD PED/PF",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TETANUS-DIPHTHERIA TOXOIDS/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TETRABENAZINE,"Neurology, Psychiatry & Pain"
TETRACAINE HCL,"Neurology, Psychiatry & Pain"
TETRACAINE HCL/PF,Ophthalmic & Otic
TETRACYCLINE HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
THALIDOMIDE,Oncology & Immunology
THEOPHYLLINE ANHYDROUS,Respiratory & Allergy
THIOGUANINE,Oncology & Immunology
THIORIDAZINE HCL,"Neurology, Psychiatry & Pain"
THIOTHIXENE,"Neurology, Psychiatry & Pain"
"THYROID,PORK","Endocrine, Metabolic & Hormonal"
THYROTROPIN ALFA,"Endocrine, Metabolic & Hormonal"
TIAGABINE HCL,"Neurology, Psychiatry & Pain"
TICAGRELOR,Cardiovascular & Blood
TIGECYCLINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TIMOLOL,Cardiovascular & Blood
TIMOLOL MALEATE,Cardiovascular & Blood
TIMOLOL MALEATE/PF,Cardiovascular & Blood
TINIDAZOLE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TIOPRONIN,"Nutrition, Fluids, Electrolytes & Supplies"
TIOTROPIUM BR/OLODATEROL HCL,"Neurology, Psychiatry & Pain"
TIOTROPIUM BROMIDE,"Neurology, Psychiatry & Pain"
TIPRANAVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TIZANIDINE HCL,"Neurology, Psychiatry & Pain"
TOBRAMYCIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TOBRAMYCIN IN 0.225% SOD CHLOR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TOBRAMYCIN SULFATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TOBRAMYCIN/DEXAMETHASONE,Ophthalmic & Otic
TOBRAMYCIN/LOTEPRED ETAB,Ophthalmic & Otic
TOBRAMYCIN/NEBULIZER,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TOCILIZUMAB,Oncology & Immunology
TOFACITINIB CITRATE,Oncology & Immunology
TOLAZAMIDE,"Endocrine, Metabolic & Hormonal"
TOLBUTAMIDE,"Endocrine, Metabolic & Hormonal"
TOLCAPONE,"Neurology, Psychiatry & Pain"
TOLMETIN SODIUM,"Nutrition, Fluids, Electrolytes & Supplies"
TOLTERODINE TARTRATE,Gastrointestinal & Genitourinary
TOLVAPTAN,"Nutrition, Fluids, Electrolytes & Supplies"
TOPIRAMATE,"Neurology, Psychiatry & Pain"
TOPOTECAN HCL,Oncology & Immunology
TOREMIFENE CITRATE,Oncology & Immunology
TORSEMIDE,Cardiovascular & Blood
TRABECTEDIN,Oncology & Immunology
TRAMADOL HCL,"Neurology, Psychiatry & Pain"
TRAMADOL HCL/ACETAMINOPHEN,"Neurology, Psychiatry & Pain"
TRAMETINIB DIMETHYL SULFOXIDE,Oncology & Immunology
TRANDOLAPRIL,Cardiovascular & Blood
TRANDOLAPRIL/VERAPAMIL HCL,Cardiovascular & Blood
TRANEXAMIC ACID,Gastrointestinal & Genitourinary
TRANYLCYPROMINE SULFATE,"Neurology, Psychiatry & Pain"
TRASTUZUMAB,Oncology & Immunology
TRAVOPROST,Ophthalmic & Otic
TRAVOPROST (BENZALKONIUM),Ophthalmic & Otic
TRAZODONE HCL,"Neurology, Psychiatry & Pain"
TREPROSTINIL DIOLAMINE,Cardiovascular & Blood
TREPROSTINIL SODIUM,Cardiovascular & Blood
TREPROSTINIL/NEB ACCESSORIES,Cardiovascular & Blood
TRETINOIN,Dermatology (Topical)
TRETINOIN MICROSPHERES,Dermatology (Topical)
TRIAMCINOLONE ACETONIDE,Dermatology (Topical)
TRIAMCINOLONE ACETONIDE/PF,Dermatology (Topical)
TRIAMTERENE,Cardiovascular & Blood
TRIAMTERENE/HYDROCHLOROTHIAZID,Cardiovascular & Blood
TRIAZOLAM,"Neurology, Psychiatry & Pain"
TRIENTINE HCL,"Endocrine, Metabolic & Hormonal"
TRIFLUOPERAZINE HCL,"Neurology, Psychiatry & Pain"
TRIFLURIDINE,"Nutrition, Fluids, Electrolytes & Supplies"
TRIFLURIDINE/TIPIRACIL HCL,"Nutrition, Fluids, Electrolytes & Supplies"
TRIHEXYPHENIDYL HCL,"Neurology, Psychiatry & Pain"
TRIMETHOBENZAMIDE HCL,Gastrointestinal & Genitourinary
TRIMETHOPRIM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
TRIMIPRAMINE MALEATE,"Neurology, Psychiatry & Pain"
TRIPTORELIN PAMOATE,Oncology & Immunology
TROPICAMIDE,Ophthalmic & Otic
TROSPIUM CHLORIDE,Gastrointestinal & Genitourinary
TYPHOID VI POLYSACCH VACCINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ULIPRISTAL ACETATE,"Endocrine, Metabolic & Hormonal"
UMECLIDINIUM BRM/VILANTEROL TR,Respiratory & Allergy
UMECLIDINIUM BROMIDE,Respiratory & Allergy
UREA,"Nutrition, Fluids, Electrolytes & Supplies"
URSODIOL,Gastrointestinal & Genitourinary
USTEKINUMAB,Oncology & Immunology
VALACYCLOVIR HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
VALBENAZINE TOSYLATE,"Neurology, Psychiatry & Pain"
VALGANCICLOVIR HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
VALPROIC ACID,"Neurology, Psychiatry & Pain"
VALPROIC ACID (AS SODIUM SALT),"Neurology, Psychiatry & Pain"
VALRUBICIN,Oncology & Immunology
VALSARTAN,Cardiovascular & Blood
VALSARTAN/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
VANCOMYCIN HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
VANCOMYCIN HCL IN 5 % DEXTROSE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
VANCOMYCIN/0.9 % SOD CHLORIDE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
VANDETANIB,"Nutrition, Fluids, Electrolytes & Supplies"
VARDENAFIL HCL,Gastrointestinal & Genitourinary
VARENICLINE TARTRATE,"Neurology, Psychiatry & Pain"
VARICELLA VACCINE LIVE/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
VARICELLA-ZOSTER GE/AS01B/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
VASOPRESSIN,"Endocrine, Metabolic & Hormonal"
VEDOLIZUMAB,Oncology & Immunology
VELAGLUCERASE ALFA,"Endocrine, Metabolic & Hormonal"
VEMURAFENIB,Oncology & Immunology
VENETOCLAX,"Nutrition, Fluids, Electrolytes & Supplies"
VENLAFAXINE HCL,"Neurology, Psychiatry & Pain"
VERAPAMIL HCL,Cardiovascular & Blood
VERTEPORFIN,Ophthalmic & Otic
VIGABATRIN,"Neurology, Psychiatry & Pain"
VILAZODONE HCL,"Neurology, Psychiatry & Pain"
VINBLASTINE SULFATE,Oncology & Immunology
VINCRISTINE SULFATE,Oncology & Immunology
VINORELBINE TARTRATE,Oncology & Immunology
VISMODEGIB,Oncology & Immunology
VIT B COMP NO.3/FOLIC/C/BIOTIN,"Nutrition, Fluids, Electrolytes & Supplies"
VORAPAXAR SULFATE,Cardiovascular & Blood
VORICONAZOLE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
VORINOSTAT,Oncology & Immunology
VORTIOXETINE HYDROBROMIDE,"Neurology, Psychiatry & Pain"
WARFARIN SODIUM,Cardiovascular & Blood
"WATER FOR INJECTION,STERILE","Nutrition, Fluids, Electrolytes & Supplies"
"WATER FOR IRRIGATION,STERILE","Nutrition, Fluids, Electrolytes & Supplies"
WEED POLLEN-SHORT RAGWEED,"Nutrition, Fluids, Electrolytes & Supplies"
YELLOW FEVER VACCINE LIVE/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ZAFIRLUKAST,Respiratory & Allergy
ZALEPLON,"Neurology, Psychiatry & Pain"
ZANAMIVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ZICONOTIDE ACETATE,"Nutrition, Fluids, Electrolytes & Supplies"
ZIDOVUDINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ZILEUTON,Respiratory & Allergy
ZIPRASIDONE HCL,"Neurology, Psychiatry & Pain"
ZIPRASIDONE MESYLATE,"Neurology, Psychiatry & Pain"
ZIV-AFLIBERCEPT,Ophthalmic & Otic
ZOLEDRONIC ACID,"Endocrine, Metabolic & Hormonal"
ZOLEDRONIC ACID/MANNITOL-WATER,"Endocrine, Metabolic & Hormonal"
ZOLMITRIPTAN,"Neurology, Psychiatry & Pain"
ZOLPIDEM TARTRATE,"Neurology, Psychiatry & Pain"
ZONISAMIDE,"Neurology, Psychiatry & Pain"
ZOSTER VACCINE LIVE/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
